stop_id,stop_name,stop_lon,stop_lat,location_type,parent_station
IDFM:monomodalStopPlace:47968,Les Noues,2.477713962139221,49.03307204384692,0,IDFM:66650
IDFM:monomodalStopPlace:47944,Nézel - Aulnay,1.8404153320794885,48.93882932493657,0,IDFM:64945
IDFM:monomodalStopPlace:47940,Massy - Verrières,2.273978779055319,48.7349579552114,0,IDFM:63320
IDFM:monomodalStopPlace:47942,Mortcerf,2.9074760676708205,48.789592035371314,0,IDFM:67805
IDFM:monomodalStopPlace:47943,Mouroux,3.0430626039871616,48.813701725231546,0,IDFM:67944
IDFM:monomodalStopPlace:47959,Tacoignières - Richebourg,1.668661901995974,48.82931965425061,0,IDFM:64194
IDFM:monomodalStopPlace:47952,Saint-Chéron,2.1249767315730463,48.55093774535708,0,IDFM:59882
IDFM:monomodalStopPlace:47958,Survilliers - Fosses,2.525517836696695,49.09951161811565,0,IDFM:69450
IDFM:monomodalStopPlace:47951,Seugy,2.3996583056293246,49.11912737513361,0,IDFM:67180
IDFM:monomodalStopPlace:47954,Saint-Nom-la-Bretèche Forêt de Marly,2.051299627156171,48.86709624082784,0,IDFM:64382
IDFM:monomodalStopPlace:47950,Sermaise,2.069088468619773,48.535687624993614,0,IDFM:59842
IDFM:monomodalStopPlace:47955,Saint-Ouen-l'Aumône Quartier de l'Église,2.1034691329132857,49.03909361746138,0,IDFM:66731
IDFM:monomodalStopPlace:47953,Saint-Mammès,2.816506976966753,48.38264713543743,0,IDFM:61423
IDFM:monomodalStopPlace:46847,Gare de Villiers Neauphle Pontchartrain,1.877535784941356,48.81532337552301,0,IDFM:424296
IDFM:monomodalStopPlace:47966,Villennes-sur-Seine,1.999557321396041,48.93983138477974,0,IDFM:64949
IDFM:monomodalStopPlace:47969,Les Vallées,2.2572045759752384,48.91365276270651,0,IDFM:72177
IDFM:monomodalStopPlace:46832,Gazeran,1.7731940021017505,48.62603010015844,0,IDFM:60454
IDFM:monomodalStopPlace:47964,Vernouillet - Verneuil,1.9829377621754611,48.98164585500312,0,IDFM:65691
IDFM:monomodalStopPlace:47967,Vosves,2.5994097381795305,48.51507609100275,0,IDFM:61850
IDFM:monomodalStopPlace:47960,Thieux - Nantouillet,2.6802537675802918,49.00813565335945,0,IDFM:69196
IDFM:monomodalStopPlace:47963,Vaucelles,2.2294526219892656,49.02172683988197,0,IDFM:66520
IDFM:monomodalStopPlace:47961,Thomery,2.764187149192088,48.39428183783365,0,IDFM:61480
IDFM:monomodalStopPlace:47962,Trilport,2.949685912410061,48.96016915361593,0,IDFM:68984
IDFM:monomodalStopPlace:473109,Maisons-Laffitte,2.144672265933885,48.94574060746957,0,IDFM:65048
IDFM:monomodalStopPlace:46990,Saint-Cyr,2.072712440765476,48.79877460471833,0,IDFM:73731
IDFM:monomodalStopPlace:46975,Issou - Porcheville,1.7838404356830648,48.9793069192499,0,IDFM:65668
IDFM:monomodalStopPlace:46984,Bonnières,1.5820546885594051,49.03882194566387,0,IDFM:66741
IDFM:monomodalStopPlace:46926,Triel-sur-Seine,2.005709444143668,48.98141600700941,0,IDFM:463843
IDFM:monomodalStopPlace:46902,Thun le Paradis,1.919170589720022,49.006673442207415,0,IDFM:66334
IDFM:monomodalStopPlace:46965,Mantes Station,1.7151334567152097,48.98360892717879,0,IDFM:65770
IDFM:monomodalStopPlace:412743,Saint-Denis,2.345479004987329,48.93482889939617,0,IDFM:72323
IDFM:monomodalStopPlace:47205,Guérard - La Celle-sur-Morin,2.9538116993768355,48.81076877713248,0,IDFM:67924
IDFM:monomodalStopPlace:47238,Fontenay-sous-Bois,2.463537806527943,48.8437885964859,0,IDFM:71630
IDFM:monomodalStopPlace:43044,Gagny,2.5254046016945138,48.883728731604535,0,IDFM:73278
IDFM:monomodalStopPlace:44514,Porte de Clichy,2.315941153551472,48.89426256830957,0,IDFM:71545
IDFM:monomodalStopPlace:44500,Port Royal,2.3371383995944486,48.840064350218256,0,IDFM:71106
IDFM:monomodalStopPlace:44559,Cergy Préfecture,2.0797809490013077,49.036306683133965,0,IDFM:66696
IDFM:monomodalStopPlace:47322,Esbly,2.809640025507793,48.902895083058525,0,IDFM:68653
IDFM:monomodalStopPlace:48964,Saint-Leu-la-Forêt,2.2428869689226687,49.01523840177278,0,IDFM:66452
IDFM:monomodalStopPlace:487011,Nanterre-La-Folie,2.226568794458685,48.89758132477412,0,IDFM:488087
IDFM:monomodalStopPlace:44411,Pontoise,2.0957859968423524,49.04673337596684,0,IDFM:66816
IDFM:monomodalStopPlace:44493,Bagneux,2.3220087047421583,48.79333690627149,0,IDFM:70210
IDFM:monomodalStopPlace:47009,Palaiseau,2.24558429554376,48.71686524330362,0,IDFM:63175
IDFM:monomodalStopPlace:47412,La Garenne-Colombes,2.2397947530458278,48.90957685679064,0,IDFM:72148
IDFM:monomodalStopPlace:47095,Dourdan la Forêt,1.996005688002604,48.53542058733677,0,IDFM:59843
IDFM:monomodalStopPlace:47052,Courcelle-sur-Yvette,2.097722386795541,48.70131367727702,0,IDFM:62951
IDFM:monomodalStopPlace:47046,La Hacquinière,2.1516106103390045,48.69529954845245,0,IDFM:62825
IDFM:monomodalStopPlace:44787,Rungis la Fraternelle,2.3521980873905326,48.74021613668418,0,IDFM:69633
IDFM:monomodalStopPlace:45860,Grand Bourg,2.4348387319350167,48.64880840591746,0,IDFM:73627
IDFM:monomodalStopPlace:45877,Gentilly,2.340926830790754,48.815228092611335,0,IDFM:70543
IDFM:monomodalStopPlace:45873,Auber,2.3296591495793595,48.8723488407182,0,IDFM:478926
IDFM:monomodalStopPlace:45850,Le Bras de Fer,2.4520047548737254,48.62330639719716,0,IDFM:60422
IDFM:monomodalStopPlace:45820,Le Plessis Chenet,2.479522291008497,48.57358727886637,0,IDFM:60006
IDFM:monomodalStopPlace:45824,Le Coudray-Montceaux,2.492424499497774,48.56619819315809,0,IDFM:59953
IDFM:monomodalStopPlace:45804,Livry-sur-Seine,2.678943943121165,48.510288065207455,0,IDFM:61826
IDFM:monomodalStopPlace:45814,Saint-Fargeau,2.5426100742385285,48.56502608446919,0,IDFM:62172
IDFM:monomodalStopPlace:45812,Ponthierry - Pringy,2.5445365646399507,48.535084951085466,0,IDFM:61976
IDFM:monomodalStopPlace:47119,Bagneaux-sur-Loing,2.7040329448732985,48.22938980618883,0,IDFM:61145
IDFM:monomodalStopPlace:47118,Souppes - Château-Landon,2.7358697259911766,48.18117871674994,0,IDFM:61094
IDFM:monomodalStopPlace:47115,Saint-Martin d'Étampes,2.145258831307165,48.42748765080825,0,IDFM:59531
IDFM:monomodalStopPlace:47130,Moret - Veneux-les-Sablons,2.800462899908886,48.37789836789835,0,IDFM:61410
IDFM:monomodalStopPlace:47136,Vulaines-sur-Seine - Samoreau,2.752898337073854,48.43046104852704,0,IDFM:61630
IDFM:monomodalStopPlace:47124,Bourron-Marlotte - Grez,2.6918764214147592,48.33245103346405,0,IDFM:61318
IDFM:monomodalStopPlace:47125,Montigny-sur-Loing,2.738336123575285,48.33649861774928,0,IDFM:61327
IDFM:monomodalStopPlace:47199,Faremoutiers - Pommeuse,2.9932738165708552,48.80853544410162,0,IDFM:67917
IDFM:monomodalStopPlace:47184,Mormant,2.88807855133882,48.61409277056721,0,IDFM:62351
IDFM:monomodalStopPlace:47187,Verneuil-l'Étang,2.825083962015835,48.64438940351837,0,IDFM:62471
IDFM:monomodalStopPlace:47181,Provins,3.302334202203228,48.55553092379296,0,IDFM:62139
IDFM:monomodalStopPlace:46007,La Croix de Berny,2.3042107053612133,48.76171816323692,0,IDFM:69813
IDFM:monomodalStopPlace:47158,Nangis,3.012177957825429,48.5617195064875,0,IDFM:62168
IDFM:monomodalStopPlace:47145,Héricy,2.760750768911634,48.44272124429534,0,IDFM:61658
IDFM:monomodalStopPlace:47171,Sainte-Colombe Septveilles,3.2553403241826864,48.52915312687445,0,IDFM:61961
IDFM:monomodalStopPlace:47174,Champbenoist Poigny,3.2866300417033125,48.54520762505785,0,IDFM:62064
IDFM:monomodalStopPlace:46035,Chemin d'Antony,2.312649686391933,48.74793654258728,0,IDFM:69682
IDFM:monomodalStopPlace:44602,Versailles Rive Droite,2.1368871000602927,48.80949051640336,0,IDFM:64021
IDFM:monomodalStopPlace:44628,Louvres,2.5018113143714777,49.04933726826723,0,IDFM:69300
IDFM:monomodalStopPlace:45761,Moulin Galant,2.473444919964576,48.58688228073328,0,IDFM:60084
IDFM:monomodalStopPlace:45763,Boissise-le-Roi,2.57179291425262,48.52985734002498,0,IDFM:61943
