from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:8875,IDFM:8846,2,304
IDFM:37141,IDFM:471341,2,220
IDFM:474179,IDFM:427310,2,121
IDFM:25624,IDFM:30148,2,60
IDFM:422081,IDFM:422082,2,259
IDFM:463201,IDFM:24265,2,256
IDFM:479504,IDFM:463953,2,79
IDFM:463217,IDFM:483434,2,422
IDFM:423518,IDFM:38531,2,319
IDFM:472159,IDFM:39248,2,309
IDFM:24699,IDFM:41697,2,371
IDFM:416497,IDFM:416495,2,375
IDFM:34596,IDFM:34572,2,267
IDFM:419804,IDFM:13147,2,274
IDFM:37397,IDFM:37719,2,60
IDFM:35817,IDFM:22232,2,360
IDFM:483454,IDFM:39464,2,342
IDFM:494552,IDFM:487895,2,60
IDFM:11979,IDFM:10117,2,60
IDFM:20706,IDFM:20714,2,267
IDFM:20660,IDFM:2716,2,371
IDFM:24023,IDFM:22326,2,317
IDFM:462940,IDFM:477124,2,252
IDFM:36563,IDFM:7883,2,195
IDFM:425003,IDFM:40107,2,309
IDFM:12125,IDFM:12126,2,60
IDFM:29935,IDFM:26998,2,158
IDFM:25718,IDFM:25747,2,360
IDFM:491516,IDFM:37071,2,243
IDFM:25650,IDFM:monomodalStopPlace:473576,2,66
IDFM:478721,IDFM:16304,2,337
IDFM:426513,IDFM:26996,2,126
IDFM:26763,IDFM:463206,2,358
IDFM:463077,IDFM:28679,2,298
IDFM:411545,IDFM:477046,2,351
IDFM:27921,IDFM:472376,2,236
IDFM:monomodalStopPlace:473332,IDFM:8632,2,43
IDFM:20765,IDFM:20780,2,314
IDFM:39488,IDFM:22170,2,350
IDFM:35927,IDFM:488084,2,110
IDFM:38686,IDFM:38692,2,380
IDFM:19586,IDFM:486783,2,60
IDFM:26805,IDFM:485384,2,305
IDFM:17322,IDFM:17321,2,60
IDFM:23304,IDFM:23297,2,10
IDFM:14752,IDFM:470812,2,241
IDFM:30434,IDFM:30416,2,105
IDFM:31309,IDFM:31308,2,338
IDFM:14483,IDFM:5256,2,60
IDFM:8201,IDFM:8200,2,296
IDFM:7438,IDFM:413316,2,344
IDFM:8418,IDFM:22125,2,252
IDFM:15537,IDFM:15534,2,60
IDFM:484383,IDFM:24435,2,382
IDFM:22719,IDFM:28540,2,72
IDFM:27740,IDFM:12205,2,296
IDFM:422083,IDFM:38866,2,60
IDFM:420861,IDFM:35895,2,377
IDFM:30123,IDFM:30128,2,60
IDFM:6585,IDFM:6584,2,60
IDFM:26486,IDFM:7879,2,116
IDFM:42098,IDFM:24928,2,261
IDFM:monomodalStopPlace:58798,IDFM:463567,2,235
IDFM:491181,IDFM:411656,2,269
IDFM:21991,IDFM:26560,2,198
IDFM:492178,IDFM:30169,2,208
IDFM:34254,IDFM:34257,2,263
IDFM:480409,IDFM:462012,2,93
IDFM:8679,IDFM:8742,2,60
IDFM:36652,IDFM:30113,2,66
IDFM:22218,IDFM:472519,2,321
IDFM:492508,IDFM:477406,2,247
IDFM:495465,IDFM:495074,2,60
IDFM:16204,IDFM:36339,2,76
IDFM:monomodalStopPlace:470540,IDFM:39394,2,229
IDFM:22078,IDFM:461914,2,390
IDFM:20002,IDFM:491487,2,60
IDFM:493635,IDFM:30951,2,242
IDFM:monomodalStopPlace:470803,IDFM:490992,2,40
IDFM:15654,IDFM:15653,2,60
IDFM:494142,IDFM:479675,2,97
IDFM:40896,IDFM:27143,2,118
IDFM:413102,IDFM:24387,2,83
IDFM:40405,IDFM:40406,2,60
IDFM:24550,IDFM:26818,2,313
IDFM:480191,IDFM:426318,2,60
IDFM:13071,IDFM:494649,2,60
IDFM:34010,IDFM:16127,2,163
IDFM:24718,IDFM:493555,2,160
IDFM:482434,IDFM:monomodalStopPlace:43207,2,310
IDFM:22586,IDFM:472228,2,326
IDFM:21904,IDFM:26777,2,274
IDFM:22848,IDFM:462449,2,116
IDFM:478576,IDFM:478574,2,60
IDFM:8500,IDFM:3767,2,263
IDFM:25089,IDFM:25088,2,60
IDFM:13758,IDFM:14177,2,369
IDFM:6495,IDFM:6497,2,60
IDFM:474139,IDFM:463058,2,318
IDFM:6634,IDFM:6635,2,119
IDFM:25254,IDFM:monomodalStopPlace:473047,2,279
IDFM:13337,IDFM:13336,2,315
IDFM:7445,IDFM:7513,2,359
IDFM:422040,IDFM:21508,2,271
IDFM:39474,IDFM:25294,2,352
IDFM:420271,IDFM:21174,2,60
IDFM:19157,IDFM:479715,2,128
IDFM:22627,IDFM:29485,2,183
IDFM:472833,IDFM:2279,2,135
IDFM:27005,IDFM:427590,2,285
IDFM:20646,IDFM:20647,2,316
IDFM:20514,IDFM:20515,2,129
IDFM:427392,IDFM:19618,2,75
IDFM:37112,IDFM:463531,2,162
IDFM:470766,IDFM:471389,2,12
IDFM:26825,IDFM:27896,2,123
IDFM:7598,IDFM:21513,2,342
IDFM:463107,IDFM:36701,2,244
IDFM:24861,IDFM:463276,2,199
IDFM:493966,IDFM:493349,2,169
IDFM:37260,IDFM:422447,2,135
IDFM:21359,IDFM:21408,2,256
IDFM:36496,IDFM:28364,2,321
IDFM:30169,IDFM:463179,2,237
IDFM:21680,IDFM:24065,2,97
IDFM:491486,IDFM:34165,2,378
IDFM:26889,IDFM:463059,2,261
IDFM:39120,IDFM:39129,2,258
IDFM:24617,IDFM:24497,2,179
IDFM:494541,IDFM:14293,2,345
IDFM:39311,IDFM:38184,2,199
