route_id,route_short_name,route_type,route_color
IDFM:C01643,N135,3,00643C
IDFM:C01644,N143,3,5191CD
IDFM:C01645,N139,3,00643C
IDFM:C01647,N154,3,8E6539
IDFM:C01103,67,3,FF82B4
IDFM:C01576,604,3,D282BE
IDFM:C00448,30-18,3,F18825
IDFM:C00158,R2N,3,9FC5E8
IDFM:C01973,3537,3,6E491E
IDFM:C00893,3652,3,A50034
IDFM:C01423,1,3,F9DC00
IDFM:C02314,263,3,FF82B4
IDFM:C00891,3611,3,00A092
IDFM:C02023,4328,3,D282BE
IDFM:C02024,4329,3,82C8E6
IDFM:C02025,4330,3,00A092
IDFM:C02026,4331,3,6E491E
IDFM:C02278,3420,3,FF1400
IDFM:C01974,3546,3,FF5A00
IDFM:C01213,192,3,82DC73
IDFM:C01214,194,3,FF5A00
IDFM:C01239,241,3,6E491E
IDFM:C00920,2418,3,640082
IDFM:C00922,2420,3,00643C
IDFM:C00265,9502,3,006DB8
IDFM:C00921,2481,3,0055C8
IDFM:C01419,N13,3,FF82B4
IDFM:C01420,N12,3,DC9600
IDFM:C01421,N122,3,3C91DC
IDFM:C00117,6526,3,0055C8
IDFM:C00118,5484,3,65318F
IDFM:C00157,R5,3,FECF00
IDFM:C00162,R3S,3,A2C119
IDFM:C00181,5230,3,00A092
IDFM:C01979,5426,3,B94E9A
IDFM:C01164,138,3,A0006E
IDFM:C02279,3423,3,00643C
IDFM:C01165,139,3,FF5A00
IDFM:C01166,140,3,FF1400
IDFM:C01799,6160,3,A50034
IDFM:C01980,5221,3,FF82B4
IDFM:C01981,5342,3,D282BE
IDFM:C01982,5231,3,FFBE00
IDFM:C01983,5235,3,DC9600
IDFM:C01986,5241,3,F59EB3
IDFM:C01170,145,3,A0006E
IDFM:C00343,6,3,FF1400
IDFM:C00344,7,3,82DC73
IDFM:C00345,408,3,FFBE00
IDFM:C00332,E,3,9B9BCD
IDFM:C00334,K,3,FF8C94
IDFM:C00020,3115,3,6E491E
IDFM:C01222,207,3,DC9600
IDFM:C02280,3666,3,6E6E00
IDFM:C01987,5245,3,640082
IDFM:C01225,211,3,FF82B4
IDFM:C00340,402,3,FF5A00
IDFM:C00635,2233,3,6E491E
IDFM:C01422,N153,3,ED262A
IDFM:C01426,2,3,0074BA
IDFM:C01707,4575,3,00A092
IDFM:C00014,3110,3,DC9600
IDFM:C00016,3114,3,FF5A00
IDFM:C00031,A,3,00643C
IDFM:C02191,3778,3,00A092
IDFM:C02194,3776,3,FFBE00
IDFM:C02222,6563,3,FF5A00
IDFM:C00142,1131,3,FF1400
IDFM:C01832,C,3,951B81
IDFM:C00112,5314,3,82DC73
IDFM:C00327,6281,3,FFBE00
IDFM:C00328,6282,3,6E491E
IDFM:C00330,A,3,0055C8
IDFM:C00341,3,3,B100BD
IDFM:C00342,412,3,FF0000
IDFM:C00346,409,3,00643C
IDFM:C00350,14,3,0055FA
IDFM:C02266,T'bus 2,3,FECE00
IDFM:C00140,1115,3,A0006E
IDFM:C00445,30-12,3,0075AA
IDFM:C01440,3311,3,87D3DF
IDFM:C01444,3438,3,0055C8
IDFM:C01445,3434,3,FF82B4
IDFM:C00447,30-14,3,3D99D4
IDFM:C00452,30-23,3,A2338A
IDFM:C00463,30-37,3,BD1D1D
IDFM:C00471,95-03A,3,2291D0
IDFM:C00472,95-03B,3,2291D0
IDFM:C00478,95-26,3,007D9A
IDFM:C00486,1521,3,F49FB3
IDFM:C00487,3804,3,02853A
IDFM:C00376,4116,3,FF5A00
IDFM:C00378,4117,3,A50034
IDFM:C00364,4159,3,D2D200
IDFM:C00355,4113,3,FFBE00
IDFM:C00366,4161,3,A0006E
IDFM:C00363,4150,3,D282BE
IDFM:C00374,4151,3,FF82B4
IDFM:C00550,3121,3,00643C
IDFM:C00551,423,3,FF5A00
IDFM:C01995,2375,3,BC85BB
IDFM:C02282,3613,3,82DC73
IDFM:C00620,2251,3,FF82B4
IDFM:C00603,1304,3,FF1400
IDFM:C00579,4158,3,DC9600
IDFM:C00577,4119,3,A50034
IDFM:C00586,4131,3,FF5A00
IDFM:C00576,4115,3,A0006E
IDFM:C00597,449,3,0055C8
IDFM:C00619,2252,3,82C8E6
IDFM:C00942,2492,3,FF5A00
IDFM:C00621,2290,3,FF5A00
IDFM:C00654,6541,3,FF1400
IDFM:C00655,7801,3,3C91DC
IDFM:C00661,7720,3,3C91DC
IDFM:C00860,3774,3,A0006E
IDFM:C00866,3726,3,FFBE00
IDFM:C00867,3723,3,00643C
IDFM:C00868,3732,3,FF1400
IDFM:C00871,3733,3,00643C
IDFM:C01395,N44,3,82DC73
IDFM:C02267,T'bus 3,3,0064B0
IDFM:C02062,EX 100,3,3C91DC
IDFM:C00741,5486,3,65318F
IDFM:C00876,3609,3,FFBE00
IDFM:C02069,2403,3,DC9600
IDFM:C01418,N14,3,82DC73
IDFM:C02016,2231,3,006400
IDFM:C01071,TVM,3,216EB4
IDFM:C00064,5367,3,82C8E6
IDFM:C01078,28,3,FF82B4
IDFM:C01079,29,3,82C8E6
IDFM:C01080,30,3,640082
IDFM:C02070,2411,3,D2D200
IDFM:C02071,2456,3,00A092
IDFM:C01414,N02,3,FF1400
IDFM:C02284,3658,3,0055C8
IDFM:C00322,4303,3,3C91DC
IDFM:C00323,4530,3,A0006E
IDFM:C00416,5112,3,FF82B4
IDFM:C00697,6206,3,00643C
IDFM:C00418,5101,3,F58F53
IDFM:C00420,6287,3,BD0066
IDFM:C00421,5201,3,D2D200
IDFM:C00422,5219,3,D282BE
IDFM:C00424,5289,3,A50034
IDFM:C01132,103,3,FF5A00
IDFM:C02068,4418,3,E0B03B
IDFM:C00914,2319,3,F79036
IDFM:C00163,5311,3,FF82B4
IDFM:C01138,109,3,D2D200
IDFM:C00170,7810,3,3C91DC
IDFM:C00172,5215,3,6E6E00
IDFM:C01498,4533,3,82DC73
IDFM:C01063,7717,3,3C91DC
IDFM:C00173,5318,3,A50034
IDFM:C00175,5320,3,640082
IDFM:C00176,4450,3,00814F
IDFM:C00177,5224,3,DC9600
IDFM:C00171,7811,3,3C91DC
IDFM:C00637,7718,3,3C91DC
IDFM:C00636,2244,3,6E6E00
IDFM:C00638,2263,3,3C91DC
IDFM:C00139,1114,3,0055C8
IDFM:C01163,137,3,FF5A00
IDFM:C01437,3304,3,F59EB3
IDFM:C01438,3310,3,006DB8
IDFM:C01439,3305,3,BB4B9B
IDFM:C00444,30-11,3,9DC327
IDFM:C00943,2261,3,A50034
IDFM:C01185,163,3,DC9600
IDFM:C01186,164,3,A0006E
IDFM:C00944,2407,3,D2D200
IDFM:C01215,195,3,A0006E
IDFM:C01216,196,3,DC9600
IDFM:C00945,2260,3,3C91DC
IDFM:C02193,3773,3,FF82B4
IDFM:C02252,2331,3,A3C2E6
IDFM:C00009,3103,3,640082
IDFM:C00590,4133,3,640082
IDFM:C02117,2458,3,A50034
IDFM:C02118,2459,3,640082
IDFM:C00392,4233,3,6E491E
IDFM:C00387,4274,3,FFBE00
IDFM:C02120,3126,3,FF1400
IDFM:C02124,3148,3,FF1400
IDFM:C02121,3130,3,A50034
IDFM:C02122,3127,3,FF82B4
IDFM:C02125,3131,3,6E6E00
IDFM:C01635,N151,3,CEC92A
IDFM:C02126,3135,3,00643C
IDFM:C02129,3,3,B44A9C
IDFM:C02130,3s,3,B44A9C
IDFM:C02131,6,3,AF171A
IDFM:C02132,9s,3,19B200
IDFM:C01657,418,3,0055C8
IDFM:C01704,4572,3,00643C
IDFM:C01705,4573,3,FF5A00
IDFM:C02144,T,3,FF8C57
IDFM:C02127,3136,3,82DC73
IDFM:C02128,3138,3,D2D200
IDFM:C02145,S3,3,A38C57
IDFM:C02146,S4,3,FFBE00
IDFM:C02150,F,3,82C8E6
IDFM:C01715,2416,3,3C91DC
IDFM:C00930,2346,3,914499
IDFM:C01446,3435,3,A0006E
IDFM:C02151,S5,3,8CE39C
IDFM:C02152,P,3,FF8C94
IDFM:C02153,S2,3,D282BE
IDFM:C00929,2342,3,FFFF00
IDFM:C00165,5334,3,640082
IDFM:C00166,5325,3,0055C8
IDFM:C02156,3429,3,6E491E
IDFM:C01685,1221,3,F78F4B
IDFM:C02147,S7,3,8CAD08
IDFM:C00015,3111,3,00643C
IDFM:C00395,1103,3,6E6E00
IDFM:C00940,2364,3,A38C57
IDFM:C01059,2424,3,82C8E6
IDFM:C02154,2426,3,FF82B4
IDFM:C00054,5332,3,FF5A00
IDFM:C01392,N24,3,FF5A00
IDFM:C01394,N51,3,FFBE00
IDFM:C01400,N31,3,FF82B4
IDFM:C01402,N61,3,DC9600
IDFM:C01403,N62,3,FF82B4
IDFM:C01276,306,3,0055C8
IDFM:C02236,2305,3,F37D2E
IDFM:C02234,2314,3,17A79C
IDFM:C01404,N32,3,DC9600
IDFM:C01406,N43,3,FF5A00
IDFM:C01447,3436,3,640082
IDFM:C01407,N22,3,FFBE00
IDFM:C01396,N42,3,DC9600
IDFM:C01397,N23,3,DC9600
IDFM:C02260,Soir,3,640082
IDFM:C01398,N34,3,D2D200
IDFM:C01399,N33,3,FF5A00
IDFM:C01401,N21,3,82DC73
IDFM:C02239,6246,3,A0006E
IDFM:C01619,4204,3,D2D200
IDFM:C01408,N63,3,D2D200
IDFM:C01409,N53,3,82DC73
IDFM:C01410,N71,3,A0006E
IDFM:C01411,N41,3,FF82B4
IDFM:C01412,N35,3,FFBE00
IDFM:C01413,N01,3,A0006E
IDFM:C00161,R3N,3,A2C119
IDFM:C01451,3319,3,9B9931
IDFM:C01477,1231,3,CEC92B
IDFM:C01478,12,3,FF8C57
IDFM:C02108,3140,3,D282BE
IDFM:C01479,1234,3,E0B03B
IDFM:C01480,1227,3,C5A3CD
IDFM:C01482,6227,3,FF1400
IDFM:C01484,6231,3,82C8E6
IDFM:C01490,7803,3,3C91DC
IDFM:C01472,9518,3,3C91DC
IDFM:C01475,1205,3,ED1C2A
IDFM:C01242,250,3,A0006E
IDFM:C01492,40,3,FFBE00
IDFM:C01493,6280,3,3C91DC
IDFM:C01500,7705,3,3C91DC
IDFM:C01511,3315,3,E0B03B
IDFM:C01552,9504,3,3C91DC
IDFM:C01553,1111,3,A04B9B
IDFM:C01554,1116,3,0055C8
IDFM:C01556,1138,3,D282BE
IDFM:C01557,1139,3,FF82B4
IDFM:C01558,1140,3,D2D200
IDFM:C01559,1141,3,6E6E00
IDFM:C01560,1142,3,00643C
IDFM:C01574,602,3,FF1400
IDFM:C01575,603,3,6E491E
IDFM:C01601,5403,3,8AD3DE
IDFM:C01602,5420,3,F58F53
IDFM:C01603,5405,3,006FB6
IDFM:C01604,5414,3,CEC73D
IDFM:C01577,605,3,D2D200
IDFM:C01612,5408,3,8D653D
IDFM:C01578,607,3,F28E43
IDFM:C01775,S6,3,A38C57
IDFM:C01579,609,3,C04191
IDFM:C01580,610,3,CEADD2
IDFM:C01581,613,3,00643C
IDFM:C01583,615,3,83C491
IDFM:C01584,616,3,0064B0
IDFM:C01585,617,3,F3A4BA
IDFM:C01587,619,3,83C491
IDFM:C01588,620,3,00814F
IDFM:C01589,623,3,82C8E6
IDFM:C01594,642,3,0064B0
IDFM:C01595,644,3,82DC73
IDFM:C01607,5425,3,7AC597
IDFM:C01633,N132,3,008B5A
IDFM:C01634,N130,3,FF1400
IDFM:C01658,415,3,D2D200
IDFM:C01659,1301,3,FF82B4
IDFM:C01370,HIRO,3,00643C
IDFM:C01371,1,1,FFBE00
IDFM:C01372,2,1,0055C8
IDFM:C01373,3,1,6E6E00
IDFM:C00217,1346,3,D282BE
IDFM:C01660,1302,3,A50034
IDFM:C01662,1356,3,00A092
IDFM:C01384,14,1,640082
IDFM:C01386,3B,1,82C8E6
IDFM:C01387,7B,1,82DC73
IDFM:C01669,3705,3,640082
IDFM:C00490,4610,3,F0BCD4
IDFM:C01753,3655,3,00643C
IDFM:C01703,4571,3,FF1400
IDFM:C01716,2471,3,82C8E6
IDFM:C01706,4574,3,A50034
IDFM:C01709,30-47,3,E40520
IDFM:C01713,2228,3,A0006E
IDFM:C01100,64,3,82DC73
IDFM:C01104,68,3,FFBE00
IDFM:C01327,488,3,0055C8
IDFM:C01377,7,1,FF82B4
IDFM:C00503,4612,3,FFD300
IDFM:C01947,3408,3,0055C8
IDFM:C01513,3246,3,6E491E
IDFM:C01757,Traverse,3,CBE859
IDFM:C01796,5413,3,00B297
IDFM:C01797,5412,3,5091CB
IDFM:C01517,3208,3,A0006E
IDFM:C01798,5462,3,C4A4CC
IDFM:C01949,5401,3,EB2132
IDFM:C01966,3512,3,A0006E
IDFM:C00970,4440,3,5291CE
IDFM:C01699,4622,3,CEC73D
IDFM:C00971,4570,3,DC9600
IDFM:C00972,4555,3,FF5A00
IDFM:C00973,4459,3,CEC92B
IDFM:C00974,4412,3,FF0000
IDFM:C01965,3511,3,D282BE
IDFM:C00137,5211,3,6E6E00
IDFM:C01146,117,3,00643C
IDFM:C01147,118,3,DC9600
IDFM:C00976,4402,3,BE418E
IDFM:C00007,282,3,82DC73
IDFM:C01984,5338,3,6E491E
IDFM:C01985,5240,3,640082
IDFM:C00250,2107,3,82DC73
IDFM:C02006,30-49,3,3A338A
IDFM:C02015,2235,3,D282BE
IDFM:C02283,3657,3,A0006E
IDFM:C00934,2428,3,D282BE
IDFM:C00154,21,3,783F04
IDFM:C00937,2352,3,2394D2
IDFM:C02271,4435,3,83C491
IDFM:C01223,208,3,A0006E
IDFM:C00700,6209,3,FF82B4
IDFM:C00704,6213,3,640082
IDFM:C00049,6142,3,00643C
IDFM:C01457,3242,3,FF82B4
IDFM:C00168,5208,3,00643C
IDFM:C00032,D,3,2C2E83
IDFM:C00033,B,3,06B8E1
IDFM:C01462,3257,3,82C8E6
IDFM:C01717,8,3,8C5E23
IDFM:C01463,3258,3,82C8E6
IDFM:C00182,5301,3,FF1400
IDFM:C00391,4334,3,FF5A00
IDFM:C01502,3262,3,FF82B4
IDFM:C01503,3215,3,00643C
IDFM:C01497,4534,3,DC9600
IDFM:C00622,2250,3,71CC98
IDFM:C00623,2291,3,6E491E
IDFM:C00625,2221,3,D2D200
IDFM:C00631,2292,3,FF5A00
IDFM:C00634,2220,3,FFBE00
IDFM:C00358,4114,3,00643C
IDFM:C00642,6528,3,FF5A00
IDFM:C00755,5438,3,FFCC30
IDFM:C01309,370,3,82C8E6
IDFM:C01310,372,3,FFBE00
IDFM:C00199,2117,3,82C8E6
IDFM:C01591,637,3,F3A4BA
IDFM:C00817,3432,3,A50034
IDFM:C00834,3504,3,FF5A00
IDFM:C00835,3505,3,0055C8
IDFM:C00855,3743,3,00643C
IDFM:C00200,2118,3,FF5A00
IDFM:C01641,N152,3,ED1B2A
IDFM:C00897,3630,3,A0006E
IDFM:C01755,D,3,640082
IDFM:C00859,Tzen1,3,D2D200
IDFM:C00941,2406,3,FF1400
IDFM:C00895,3634,3,3C91DC
IDFM:C00878,3608,3,DC9600
IDFM:C00890,3654,3,FFBE00
IDFM:C02076,6276,3,DEB41B
IDFM:C02092,643,3,FF5A00
IDFM:C01532,5143,3,82DC73
IDFM:C02094,2451,3,A0006E
IDFM:C01046,2463,3,82C8E6
IDFM:C02107,3137,3,FF82B4
